,abbreviation,assists,blocks,defensive_rebounds,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempts,free_throw_percentage,free_throws,games_played,minutes_played,name,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,personal_fouls,points,rank,steals,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,year
TOR,TOR,1995,500,2807,7169,0.472,3383,1790,0.794,1422,82,19830,Toronto Raptors,800,1785,401,2672,7017,0.449,3149,1941,0.767,1489,806,1633,8518,588,2046,0.357,731,3478,1176,4971,0.486,2418,1783,9156,4,626,2705,0.358,968,3607,1095,4464,0.541,2415,2018
CLE,CLE,1916,312,2761,6950,0.476,3311,1909,0.779,1488,82,19730,Cleveland Cavaliers,694,2122,340,2766,7238,0.474,3429,1588,0.756,1200,812,1696,9014,613,2596,0.368,956,3578,1105,4642,0.533,2473,1524,9091,5,582,2636,0.372,981,3455,1126,4314,0.54,2330,2018
DEN,DEN,2059,404,2748,7102,0.47,3338,1830,0.767,1404,82,19880,Denver Nuggets,902,2028,391,2613,7113,0.476,3386,1671,0.738,1234,800,1699,8899,654,2364,0.378,893,3413,1131,4749,0.525,2493,1533,9020,6,627,2536,0.371,940,3650,1227,4566,0.525,2398,2018
PHI,PHI,2221,420,2996,7098,0.472,3349,1868,0.752,1405,82,19780,Philadelphia 76ers,893,1782,417,2641,7185,0.434,3120,2102,0.745,1566,818,1670,8635,697,2427,0.342,829,3459,1173,4758,0.482,2291,1811,9004,7,682,2445,0.369,901,3889,1353,4653,0.526,2448,2018
MIN,MIN,1861,345,2593,7063,0.476,3365,1980,0.804,1592,82,19805,Minnesota Timberwolves,848,1962,382,2626,6942,0.475,3298,1683,0.779,1311,803,1711,8797,529,2431,0.366,890,3429,1239,4511,0.534,2408,1495,8980,8,689,1845,0.357,658,3441,1021,5218,0.519,2707,2018
LAC,LAC,1832,373,2766,7004,0.471,3302,2095,0.743,1556,82,19705,Los Angeles Clippers,832,2015,462,2706,7194,0.458,3298,1864,0.782,1457,871,1803,8934,699,2477,0.356,881,3577,1154,4717,0.512,2417,1638,8937,9,628,2196,0.354,777,3598,1204,4808,0.525,2525,2018
CHO,CHO,1770,373,2901,7106,0.45,3197,2216,0.747,1656,82,19780,Charlotte Hornets,827,2029,404,2891,7199,0.468,3370,1494,0.795,1187,692,1839,8853,542,2467,0.375,926,3583,1112,4732,0.516,2444,1409,8874,10,559,2233,0.369,824,3728,1041,4873,0.487,2373,2018
LAL,LAL,1949,388,2927,7248,0.461,3338,1910,0.714,1364,82,19905,Los Angeles Lakers,876,1932,447,2835,7374,0.456,3366,1843,0.761,1402,840,1679,8989,682,2469,0.346,855,3675,1170,4905,0.512,2511,1736,8862,11,633,2384,0.345,822,3803,1295,4864,0.517,2516,2018
OKC,OKC,1750,412,2671,7221,0.453,3271,1985,0.716,1421,82,19830,Oklahoma City Thunder,1024,1911,377,2676,6885,0.458,3156,1733,0.769,1332,781,1750,8564,630,2507,0.367,920,3457,1315,4378,0.511,2236,1653,8844,12,743,2491,0.354,881,3695,1147,4730,0.505,2390,2018
WAS,WAS,2065,353,2713,7018,0.467,3275,1786,0.772,1378,82,19855,Washington Wizards,823,1831,383,2682,6918,0.462,3195,1931,0.761,1469,805,1639,8694,641,2393,0.349,835,3487,1224,4525,0.522,2360,1746,8742,13,645,2173,0.375,814,3536,1196,4845,0.508,2461,2018
BRK,BRK,1941,390,2852,7114,0.441,3136,1850,0.772,1428,82,19855,Brooklyn Nets,792,1782,450,2981,7334,0.466,3418,1921,0.766,1471,853,1615,9048,630,2010,0.369,741,3834,1015,5324,0.503,2677,1688,8741,14,512,2924,0.356,1041,3644,1245,4190,0.5,2095,2018
MIL,MIL,1905,443,2579,6807,0.478,3257,1915,0.783,1499,82,19830,Milwaukee Bucks,688,1939,366,2686,6864,0.468,3209,1926,0.783,1509,817,1633,8756,585,2226,0.372,829,3503,1279,4638,0.513,2380,1752,8731,15,722,2024,0.355,718,3267,1134,4783,0.531,2539,2018
POR,POR,1599,423,2893,7132,0.452,3222,1715,0.8,1372,82,19755,Portland Trail Blazers,835,1655,418,2755,7042,0.447,3146,1803,0.755,1362,763,1564,8448,602,2179,0.364,794,3518,1036,4863,0.484,2352,1599,8661,16,573,2308,0.366,845,3728,1109,4824,0.493,2377,2018
IND,IND,1819,340,2684,7083,0.472,3345,1573,0.779,1225,82,19755,Indiana Pacers,788,1905,428,2686,6953,0.465,3230,1602,0.757,1213,838,1514,8543,577,2496,0.349,870,3524,1271,4457,0.53,2360,1544,8656,17,721,2010,0.369,741,3472,1089,5073,0.513,2604,2018
NYK,NYK,1912,421,2752,7193,0.464,3334,1557,0.787,1225,82,19830,New York Knicks,859,1965,389,2702,7078,0.457,3233,1906,0.774,1475,838,1509,8858,670,2494,0.368,917,3540,1096,4584,0.505,2316,1682,8566,18,552,1914,0.352,673,3611,1207,5279,0.504,2661,2018
UTA,UTA,1839,420,2807,6797,0.462,3139,1766,0.779,1375,82,19755,Utah Jazz,740,1636,380,2702,6804,0.449,3057,1680,0.771,1295,710,1683,8187,678,2131,0.365,778,3412,1224,4673,0.488,2279,1608,8540,19,708,2425,0.366,887,3547,1205,4372,0.515,2252,2018
BOS,BOS,1842,373,2878,6975,0.45,3141,1697,0.771,1308,82,19805,Boston Celtics,767,1744,364,2804,6973,0.44,3066,1748,0.763,1334,791,1571,8235,594,2270,0.339,769,3595,1159,4703,0.488,2297,1618,8529,20,604,2492,0.377,939,3645,1149,4483,0.491,2202,2018
PHO,PHO,1743,370,2776,7141,0.442,3153,1962,0.741,1453,82,19705,Phoenix Suns,842,1910,488,2906,7274,0.471,3426,2014,0.766,1543,855,1715,9290,712,2398,0.373,895,3761,1099,4876,0.519,2531,1807,8522,21,569,2286,0.334,763,3618,1289,4855,0.492,2390,2018
DET,DET,1868,317,2756,7129,0.45,3208,1621,0.745,1207,82,19805,Detroit Pistons,830,2064,398,2833,6988,0.459,3206,1548,0.776,1201,756,1511,8521,597,2527,0.359,908,3589,1215,4461,0.515,2298,1508,8509,22,628,2373,0.373,886,3586,1103,4756,0.488,2322,2018
MIA,MIA,1862,437,2801,6997,0.455,3184,1601,0.755,1209,82,19930,Miami Heat,763,1720,378,2791,6873,0.45,3090,1885,0.783,1476,744,1587,8441,616,2181,0.36,785,3535,1160,4692,0.491,2305,1648,8480,23,620,2506,0.36,903,3564,1179,4491,0.508,2281,2018
ORL,ORL,1921,400,2692,7042,0.452,3182,1678,0.757,1271,82,19730,Orlando Magic,722,1998,402,2892,7176,0.468,3355,1741,0.773,1345,868,1556,8874,639,2260,0.362,819,3760,1166,4916,0.516,2536,1579,8479,24,622,2405,0.351,844,3414,1192,4637,0.504,2338,2018
ATL,ATL,1946,348,2693,7015,0.446,3130,1654,0.785,1298,82,19705,Atlanta Hawks,743,2137,453,2785,7107,0.469,3336,1686,0.772,1301,841,1661,8922,710,2519,0.377,949,3626,1238,4588,0.52,2387,1606,8475,25,638,2544,0.36,917,3436,1276,4471,0.495,2213,2018
CHI,CHI,1923,289,2873,7285,0.435,3170,1574,0.759,1194,82,19855,Chicago Bulls,790,2123,423,3053,7115,0.472,3360,1660,0.787,1307,691,1425,9017,588,2678,0.37,990,3744,1112,4437,0.534,2370,1571,8440,26,626,2549,0.355,906,3663,1147,4736,0.478,2264,2018
SAS,SAS,1868,460,2777,6999,0.457,3202,1715,0.772,1324,82,19730,San Antonio Spurs,849,1786,318,2731,6911,0.453,3131,1549,0.759,1175,756,1619,8187,622,2154,0.348,750,3487,1155,4757,0.501,2381,1408,8424,27,628,1977,0.352,696,3626,1078,5022,0.499,2506,2018
DAL,DAL,1858,310,2717,7042,0.444,3128,1530,0.763,1167,82,19805,Dallas Mavericks,666,1929,369,3027,6870,0.469,3219,1754,0.757,1327,725,1604,8639,594,2411,0.363,874,3752,1127,4459,0.526,2345,1578,8390,28,578,2688,0.36,967,3383,1008,4354,0.496,2161,2018
MEM,MEM,1767,396,2544,6788,0.444,3013,1732,0.786,1361,82,19705,Memphis Grizzlies,779,1816,421,2703,6587,0.462,3046,2196,0.769,1688,782,1674,8654,662,2377,0.368,874,3485,1210,4210,0.516,2172,1900,8145,29,613,2152,0.352,758,3323,1227,4636,0.486,2255,2018
SAC,SAC,1768,340,2578,7063,0.45,3179,1371,0.735,1008,82,19755,Sacramento Kings,777,1939,389,2843,6759,0.47,3177,1760,0.765,1347,745,1422,8677,636,2586,0.377,976,3588,1176,4173,0.527,2201,1639,8104,30,643,1967,0.375,738,3355,1125,5096,0.479,2441,2018
MIL,MIL,2136,486,3316,7471,0.476,3555,1904,0.773,1471,82,19780,Milwaukee Bucks,762,2031,395,2902,7669,0.433,3322,1694,0.733,1242,813,1653,8959,557,2976,0.361,1073,3715,1096,4693,0.479,2249,1608,9686,1,615,3134,0.353,1105,4078,1137,4337,0.565,2450,2019
GSW,GSW,2413,525,2990,7361,0.491,3612,1672,0.801,1339,82,19805,Golden State Warriors,797,1989,295,2750,7471,0.444,3315,1987,0.773,1535,886,1601,9120,630,2753,0.347,955,3636,1105,4718,0.5,2360,1757,9650,2,625,2824,0.385,1087,3787,1169,4537,0.557,2525,2019
NOP,NOP,2216,441,2969,7563,0.473,3581,1921,0.761,1462,82,19755,New Orleans Pelicans,909,2174,445,2855,7610,0.466,3549,1926,0.764,1471,898,1722,9575,702,2766,0.364,1006,3753,1113,4844,0.525,2543,1732,9466,3,610,2449,0.344,842,3878,1215,5114,0.536,2739,2019
PHI,PHI,2207,432,3025,7233,0.471,3407,2258,0.771,1742,82,19805,Philadelphia 76ers,892,1917,336,2743,7506,0.455,3418,2011,0.768,1545,823,1816,9224,634,2464,0.342,843,3566,1045,5042,0.511,2575,1745,9445,4,606,2474,0.359,889,3917,1223,4759,0.529,2518,2019
LAC,LAC,1970,385,2936,7178,0.471,3384,2340,0.792,1853,82,19830,Los Angeles Clippers,796,1976,498,2826,7490,0.457,3423,2159,0.777,1677,925,1969,9372,677,2477,0.343,849,3751,1081,5013,0.513,2574,1913,9442,5,561,2118,0.388,821,3732,1193,5060,0.507,2563,2019
POR,POR,1887,413,2968,7427,0.467,3470,1914,0.814,1558,82,19855,Portland Trail Blazers,967,1906,420,2670,7384,0.457,3371,1868,0.77,1438,842,1699,9058,603,2443,0.359,878,3512,1014,4941,0.505,2493,1669,9402,6,546,2520,0.359,904,3935,1135,4907,0.523,2566,2019
OKC,OKC,1917,425,2911,7706,0.454,3497,2049,0.713,1461,82,19855,Oklahoma City Thunder,1031,2039,415,2936,7272,0.46,3343,1971,0.761,1500,811,1844,9108,672,2592,0.356,922,3747,1372,4680,0.517,2421,1839,9387,7,766,2677,0.348,932,3942,1145,5029,0.51,2565,2019
TOR,TOR,2085,437,2920,7305,0.474,3460,1803,0.804,1449,82,19880,Toronto Raptors,786,2012,368,2804,7352,0.449,3302,1829,0.765,1399,867,1683,8885,622,2559,0.345,882,3671,1225,4793,0.505,2420,1724,9384,8,680,2771,0.366,1015,3706,1150,4534,0.539,2445,2019
SAC,SAC,2083,363,2819,7637,0.464,3541,1865,0.726,1354,82,19730,Sacramento Kings,906,2024,420,3015,7430,0.466,3465,1998,0.77,1539,917,1753,9455,618,2837,0.348,986,3932,1304,4593,0.54,2479,1751,9363,9,679,2455,0.378,927,3725,1095,5182,0.504,2614,2019
WAS,WAS,2154,379,2679,7387,0.468,3456,1963,0.768,1508,82,19930,Washington Wizards,794,2151,378,2939,7424,0.48,3560,1895,0.778,1474,936,1741,9588,631,2689,0.37,994,3875,1292,4735,0.542,2566,1701,9350,10,683,2731,0.341,930,3473,1154,4656,0.543,2526,2019
HOU,HOU,1741,405,2613,7163,0.449,3218,2001,0.791,1582,82,19830,Houston Rockets,836,1929,369,2825,7106,0.466,3313,1944,0.768,1493,899,1640,8950,607,2444,0.34,831,3724,1232,4662,0.532,2482,1803,9341,11,700,3721,0.356,1323,3449,1094,3442,0.551,1895,2019
ATL,ATL,2118,419,2825,7524,0.451,3392,1918,0.752,1443,82,19855,Atlanta Hawks,955,2202,448,2904,7417,0.473,3508,2321,0.758,1759,871,1817,9788,810,2820,0.359,1013,3775,1234,4597,0.543,2495,1932,9294,12,675,3034,0.352,1067,3780,1397,4490,0.518,2325,2019
MIN,MIN,2018,411,2750,7483,0.456,3413,1995,0.787,1570,82,19830,Minnesota Timberwolves,923,2145,455,2822,7386,0.467,3452,1827,0.767,1401,921,1795,9346,539,2752,0.378,1041,3743,1209,4634,0.52,2411,1664,9223,13,683,2357,0.351,827,3673,1074,5126,0.504,2586,2019
BOS,BOS,2155,435,2849,7423,0.465,3451,1598,0.802,1282,82,19780,Boston Celtics,804,1940,317,2912,7222,0.448,3239,1872,0.764,1430,852,1602,8852,556,2748,0.344,944,3764,1241,4474,0.513,2295,1670,9216,14,706,2829,0.365,1032,3653,1052,4594,0.527,2419,2019
BRK,BRK,1954,339,2919,7358,0.449,3301,2088,0.745,1555,82,19980,Brooklyn Nets,900,1944,432,2889,7581,0.456,3460,1872,0.77,1442,902,1807,9210,638,2486,0.341,848,3791,1104,5095,0.513,2612,1763,9204,15,539,2965,0.353,1047,3819,1236,4393,0.513,2254,2019
LAL,LAL,2096,440,2985,7425,0.47,3491,1910,0.699,1336,82,19780,Los Angeles Lakers,835,2053,421,2918,7610,0.452,3438,1862,0.784,1459,924,1706,9306,683,2784,0.349,971,3842,1167,4826,0.511,2467,1701,9165,16,618,2541,0.333,847,3820,1284,4884,0.541,2644,2019
UTA,UTA,2133,483,2981,7082,0.468,3314,2092,0.736,1540,82,19755,Utah Jazz,820,1770,376,2762,7253,0.452,3276,1822,0.753,1372,733,1835,8730,695,2273,0.355,806,3495,1136,4980,0.496,2470,1728,9161,17,663,2789,0.356,993,3801,1240,4293,0.541,2321,2019
SAS,SAS,2013,386,2910,7248,0.478,3468,1720,0.819,1408,82,19805,San Antonio Spurs,757,2025,332,2844,7354,0.463,3404,1654,0.755,1249,756,1611,9018,589,2678,0.359,961,3600,999,4676,0.522,2443,1487,9156,18,501,2071,0.392,812,3667,992,5177,0.513,2656,2019
CHO,CHO,1905,405,2778,7362,0.448,3297,1895,0.797,1510,82,19830,Charlotte Hornets,814,2133,492,2931,7311,0.47,3436,1660,0.787,1307,825,1686,9171,565,2748,0.361,992,3756,1109,4563,0.536,2444,1550,9081,19,591,2783,0.351,977,3592,1001,4579,0.507,2320,2019
DEN,DEN,2245,363,2832,7384,0.466,3439,1714,0.755,1294,82,19730,Denver Nuggets,972,2016,407,2685,7084,0.458,3246,1822,0.753,1372,799,1675,8751,610,2618,0.339,887,3484,1109,4466,0.528,2359,1644,9075,20,634,2571,0.351,903,3804,1102,4813,0.527,2536,2019
DAL,DAL,1918,351,2884,7122,0.447,3182,2076,0.742,1541,82,19780,Dallas Mavericks,832,2011,368,2840,7315,0.459,3357,1802,0.777,1400,836,1905,9032,643,2667,0.344,918,3676,1065,4648,0.525,2439,1650,8927,21,533,3002,0.34,1022,3716,1167,4120,0.524,2160,2019
IND,IND,2128,404,2766,7135,0.475,3390,1727,0.752,1298,82,19705,Indiana Pacers,762,2006,425,2718,7059,0.45,3177,1718,0.756,1298,862,1642,8584,608,2633,0.354,932,3580,1284,4426,0.507,2245,1594,8857,22,713,2081,0.374,779,3528,1122,5054,0.517,2611,2019
PHO,PHO,1957,418,2563,7164,0.459,3289,1858,0.779,1447,82,19880,Phoenix Suns,748,2126,411,2897,7230,0.482,3482,2263,0.753,1705,971,1694,9581,737,2454,0.372,912,3868,1285,4776,0.538,2570,1932,8815,23,735,2400,0.329,790,3311,1279,4764,0.525,2499,2019
ORL,ORL,2095,445,2902,7307,0.454,3316,1575,0.782,1231,82,19780,Orlando Magic,822,1892,362,2922,7185,0.456,3274,1717,0.778,1336,739,1537,8742,575,2475,0.347,858,3661,1064,4710,0.513,2416,1526,8800,24,543,2633,0.356,937,3724,1082,4674,0.509,2379,2019
DET,DET,1845,331,2752,7238,0.44,3185,1893,0.747,1415,82,19855,Detroit Pistons,936,1940,419,2834,6969,0.469,3271,1947,0.755,1470,747,1748,8798,566,2278,0.345,786,3581,1153,4691,0.53,2485,1811,8778,25,569,2854,0.348,993,3688,1135,4384,0.5,2192,2019
MIA,MIA,1991,448,2879,7218,0.45,3251,1782,0.695,1238,82,19730,Miami Heat,921,1913,389,2792,7116,0.441,3141,1861,0.769,1432,831,1652,8687,612,2717,0.358,973,3623,1159,4399,0.493,2168,1712,8668,26,627,2658,0.349,928,3800,1208,4560,0.509,2323,2019
CHI,CHI,1796,351,2799,7205,0.453,3266,1695,0.783,1328,82,19905,Chicago Bulls,718,2094,473,2984,7316,0.473,3464,1805,0.763,1377,824,1534,9295,600,2709,0.365,990,3808,1092,4607,0.537,2474,1663,8605,27,603,2123,0.351,745,3517,1159,5082,0.496,2521,2019
NYK,NYK,1646,422,2811,7241,0.433,3134,1956,0.759,1484,82,19780,New York Knicks,857,2098,458,3016,7352,0.467,3434,1948,0.766,1493,881,1708,9330,607,2673,0.363,969,3897,1084,4679,0.527,2465,1713,8575,28,557,2421,0.34,823,3668,1151,4820,0.479,2311,2019
CLE,CLE,1698,195,2619,7184,0.444,3189,1694,0.792,1342,82,19755,Cleveland Cavaliers,879,2107,459,2835,7148,0.495,3539,1680,0.77,1293,782,1592,9355,568,2590,0.38,984,3617,1022,4558,0.561,2555,1642,8567,29,534,2388,0.355,847,3498,1106,4796,0.488,2342,2019
MEM,MEM,1963,448,2703,6924,0.45,3113,1882,0.772,1453,82,19880,Memphis Grizzlies,723,1920,402,2883,6836,0.451,3083,2023,0.784,1586,781,1758,8703,625,2639,0.36,951,3664,1249,4197,0.508,2132,1801,8490,30,684,2368,0.342,811,3426,1147,4556,0.505,2302,2019
